epoch,Training Loss,Validation Loss
1,2.078512668609619,2.0798161029815674
2,2.0782527923583984,2.079561471939087
3,2.077946186065674,2.079263210296631
4,2.0776326656341553,2.078961133956909
5,2.077354669570923,2.0786948204040527
6,2.0771000385284424,2.0784504413604736
7,2.0768566131591797,2.078216075897217
8,2.0766189098358154,2.0779855251312256
9,2.0763821601867676,2.077755928039551
10,2.07614803314209,2.077528715133667
11,2.0759172439575195,2.077303886413574
12,2.0756921768188477,2.0770840644836426
13,2.0754780769348145,2.0768749713897705
14,2.075275421142578,2.0766775608062744
15,2.0750794410705566,2.076486825942993
16,2.07489013671875,2.0763020515441895
17,2.0747058391571045,2.0761215686798096
18,2.0745227336883545,2.0759429931640625
19,2.0743417739868164,2.0757668018341064
20,2.074159860610962,2.075589179992676
21,2.073976993560791,2.075411081314087
22,2.073791980743408,2.0752310752868652
23,2.073604106903076,2.075047492980957
24,2.0734150409698486,2.074862480163574
25,2.0732264518737793,2.0746777057647705
26,2.0730369091033936,2.074491262435913
27,2.072844982147217,2.074303388595581
28,2.07265043258667,2.074112892150879
29,2.0724527835845947,2.073918104171753
30,2.072253465652466,2.073721170425415
31,2.072054624557495,2.0735254287719727
32,2.071857452392578,2.073331356048584
33,2.0716609954833984,2.0731377601623535
34,2.071465253829956,2.0729453563690186
35,2.07127046585083,2.07275390625
36,2.071074962615967,2.0725622177124023
37,2.0708799362182617,2.072371482849121
38,2.0706839561462402,2.0721793174743652
39,2.0704870223999023,2.071986198425293
40,2.070289373397827,2.0717926025390625
41,2.070091485977173,2.071598768234253
42,2.069892644882202,2.071403980255127
43,2.069692373275757,2.07120680809021
44,2.0694916248321533,2.071009397506714
45,2.069291114807129,2.070812463760376
46,2.0690903663635254,2.0706164836883545
47,2.0688891410827637,2.0704190731048584
48,2.0686850547790527,2.070218563079834
49,2.0684800148010254,2.0700182914733887
50,2.06827449798584,2.0698165893554688
51,2.0680689811706543,2.069615125656128
52,2.067861795425415,2.069411516189575
53,2.0676538944244385,2.0692081451416016
54,2.067444086074829,2.069002389907837
55,2.067234516143799,2.0687968730926514
56,2.0670225620269775,2.068589687347412
57,2.0668087005615234,2.068380832672119
58,2.0665905475616455,2.0681681632995605
59,2.0663700103759766,2.0679545402526855
60,2.0661468505859375,2.067739725112915
61,2.065922975540161,2.0675241947174072
62,2.065696954727173,2.06730580329895
63,2.065469741821289,2.067086696624756
64,2.0652387142181396,2.066863536834717
65,2.0650064945220947,2.066638231277466
66,2.0647730827331543,2.0664122104644775
67,2.064537525177002,2.0661845207214355
68,2.0642998218536377,2.0659544467926025
69,2.0640599727630615,2.0657224655151367
70,2.0638179779052734,2.065488576889038
71,2.063573122024536,2.0652525424957275
72,2.063325881958008,2.0650136470794678
73,2.063074827194214,2.0647714138031006
74,2.0628225803375244,2.064527988433838
75,2.062567710876465,2.0642824172973633
76,2.0623111724853516,2.064035415649414
77,2.0620524883270264,2.0637874603271484
78,2.0617895126342773,2.063535451889038
79,2.06152606010437,2.0632834434509277
80,2.06125807762146,2.0630266666412354
81,2.0609853267669678,2.0627660751342773
82,2.060710906982422,2.0625040531158447
83,2.0604324340820312,2.0622377395629883
84,2.0601541996002197,2.0619723796844482
85,2.0598666667938232,2.0616981983184814
86,2.0595803260803223,2.0614259243011475
87,2.0592892169952393,2.061149835586548
88,2.0589938163757324,2.060870885848999
89,2.05869722366333,2.0605907440185547
90,2.0583994388580322,2.060309410095215
91,2.0580999851226807,2.0600264072418213
92,2.057796001434326,2.0597403049468994
93,2.057492256164551,2.0594544410705566
94,2.0571844577789307,2.0591659545898438
95,2.0568723678588867,2.058873176574707
96,2.056556224822998,2.058577537536621
97,2.0562381744384766,2.0582804679870605
98,2.0559215545654297,2.0579845905303955
99,2.0556037425994873,2.0576884746551514
100,2.055276393890381,2.0573837757110596
101,2.0549511909484863,2.0570809841156006
102,2.0546188354492188,2.0567731857299805
103,2.0542948246002197,2.056473970413208
104,2.053968667984009,2.056173801422119
105,2.0536348819732666,2.0558664798736572
106,2.0532968044281006,2.055555820465088
107,2.0529637336730957,2.055250406265259
108,2.052623748779297,2.0549404621124268
109,2.0522773265838623,2.0546250343322754
110,2.0519332885742188,2.0543134212493896
111,2.051588535308838,2.0540013313293457
112,2.051229953765869,2.0536770820617676
113,2.050879716873169,2.053361415863037
114,2.0505244731903076,2.053041696548462
115,2.050157308578491,2.0527122020721436
116,2.049795150756836,2.0523881912231445
117,2.049438238143921,2.0520715713500977
118,2.0490901470184326,2.051764726638794
119,2.048732042312622,2.0514490604400635
120,2.048362970352173,2.05112361907959
121,2.0480153560638428,2.050821304321289
122,2.0476484298706055,2.0505013465881348
123,2.047281265258789,2.0501832962036133
124,2.0469133853912354,2.04986572265625
125,2.046541213989258,2.0495452880859375
126,2.046165704727173,2.0492231845855713
127,2.0457725524902344,2.0488882064819336
128,2.0453991889953613,2.048574209213257
129,2.0450239181518555,2.0482592582702637
130,2.044640064239502,2.047938585281372
131,2.044240713119507,2.04760479927063
132,2.0438389778137207,2.047271728515625
133,2.0434322357177734,2.046933889389038
134,2.0429999828338623,2.0465729236602783
135,2.042536735534668,2.046185255050659
136,2.042107582092285,2.04583477973938
137,2.0416340827941895,2.0454421043395996
138,2.0411343574523926,2.045025587081909
139,2.0406970977783203,2.04467511177063
140,2.0401692390441895,2.044236421585083
141,2.0395829677581787,2.04374623298645
142,2.0390682220458984,2.043327808380127
143,2.0385279655456543,2.0428900718688965
144,2.037947416305542,2.0424137115478516
145,2.037346601486206,2.0419211387634277
146,2.0366568565368652,2.0413451194763184
147,2.035923480987549,2.0407283306121826
148,2.035069465637207,2.0399975776672363
149,2.034226417541504,2.0392801761627197
150,2.0334835052490234,2.0386688709259033
151,2.0325798988342285,2.0378992557525635
152,2.0314760208129883,2.036933660507202
153,2.0305051803588867,2.036109209060669
154,2.02947735786438,2.035233497619629
155,2.0282576084136963,2.034167528152466
156,2.0269577503204346,2.033029794692993
157,2.0254507064819336,2.0316896438598633
158,2.0241847038269043,2.0305986404418945
159,2.022803783416748,2.029395818710327
160,2.020704746246338,2.0274808406829834
161,2.01912784576416,2.026094913482666
162,2.0168466567993164,2.02400803565979
163,2.015091896057129,2.0224568843841553
164,2.0128655433654785,2.020444631576538
165,2.010770082473755,2.018569231033325
166,2.008570671081543,2.0165963172912598
167,2.0055620670318604,2.0138182640075684
168,2.0022428035736084,2.0107381343841553
169,1.9990782737731934,2.007819652557373
170,1.9969098567962646,2.005911350250244
171,1.993478536605835,2.0027387142181396
172,1.991158127784729,2.0007004737854004
173,1.9871182441711426,1.9969351291656494
174,1.9828691482543945,1.9929686784744263
175,1.9795498847961426,1.9899441003799438
176,1.9758315086364746,1.9865355491638184
177,1.9725936651229858,1.9836246967315674
178,1.9661191701889038,1.9774600267410278
