epoch,Training Loss,Validation Loss
1,2.3038439750671387,2.303694486618042
2,2.3034682273864746,2.30332612991333
3,2.303112268447876,2.3029818534851074
4,2.302774667739868,2.302656412124634
5,2.3024606704711914,2.3023600578308105
6,2.30216646194458,2.302081346511841
7,2.3018651008605957,2.301793098449707
8,2.3015780448913574,2.3015244007110596
9,2.3012783527374268,2.3012397289276123
10,2.300964593887329,2.300945997238159
11,2.3006625175476074,2.3006601333618164
12,2.3003580570220947,2.300372362136841
13,2.3000576496124268,2.3000876903533936
14,2.2997426986694336,2.299790620803833
15,2.2994167804718018,2.2994823455810547
16,2.2991116046905518,2.2991950511932373
17,2.2987959384918213,2.298893451690674
18,2.298470973968506,2.2985804080963135
19,2.2981536388397217,2.2982773780822754
20,2.297834634780884,2.29797625541687
21,2.297520875930786,2.297675609588623
22,2.2971925735473633,2.2973616123199463
23,2.296858549118042,2.2970430850982666
24,2.296546459197998,2.2967424392700195
25,2.2962188720703125,2.2964344024658203
26,2.2958850860595703,2.296112060546875
27,2.2955498695373535,2.295790910720825
28,2.29520845413208,2.295459032058716
29,2.2948625087738037,2.2951316833496094
30,2.294525623321533,2.294806957244873
31,2.294170379638672,2.2944695949554443
32,2.2938196659088135,2.29413104057312
33,2.2934861183166504,2.2938029766082764
34,2.2931456565856934,2.2934727668762207
35,2.292793035507202,2.2931363582611084
36,2.292429208755493,2.292780637741089
37,2.2920703887939453,2.2924258708953857
38,2.2917044162750244,2.2920703887939453
39,2.2913339138031006,2.291703939437866
40,2.290950298309326,2.2913308143615723
41,2.290567636489868,2.290954351425171
42,2.290170192718506,2.2905640602111816
43,2.289780855178833,2.2901792526245117
44,2.289374589920044,2.289781332015991
45,2.288961887359619,2.289370536804199
46,2.288543701171875,2.2889506816864014
47,2.288119316101074,2.288529396057129
48,2.287677764892578,2.2880897521972656
49,2.2872257232666016,2.287639856338501
50,2.2867519855499268,2.28716778755188
51,2.286281108856201,2.2866978645324707
52,2.285778284072876,2.2861928939819336
53,2.285264253616333,2.2856781482696533
54,2.284740924835205,2.2851574420928955
55,2.284214496612549,2.2846264839172363
56,2.2836642265319824,2.284069061279297
57,2.2830872535705566,2.2834906578063965
58,2.282508611679077,2.282907724380493
59,2.2818892002105713,2.282282829284668
60,2.281212091445923,2.2815961837768555
61,2.2804617881774902,2.280832529067993
62,2.2795910835266113,2.2799410820007324
63,2.2787253856658936,2.2790544033050537
64,2.2779014110565186,2.278209924697876
65,2.277123212814331,2.277414321899414
66,2.2763257026672363,2.276592254638672
67,2.275489568710327,2.2757303714752197
68,2.274646759033203,2.274864435195923
69,2.2737843990325928,2.27398419380188
70,2.2728724479675293,2.273045778274536
71,2.271949529647827,2.272094249725342
72,2.2709860801696777,2.271113157272339
73,2.2699778079986572,2.2700681686401367
74,2.268928050994873,2.268984079360962
