x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,label
0.6793603897094727,0.8729571104049683,1.786748526910742e-07,0.6554980874061584,0.8655009865760803,-0.01246526651084423,0.6347476243972778,0.8362683057785034,-0.018426377326250076,0.6443880200386047,0.808548092842102,-0.022762615233659744,0.6636488437652588,0.7884352803230286,-0.027206387370824814,0.6334623694419861,0.7517666816711426,-0.013913305476307869,0.617037296295166,0.7001000642776489,-0.02110542170703411,0.6084099411964417,0.6673192977905273,-0.02640426903963089,0.6000468134880066,0.6368616819381714,-0.03150731325149536,0.6525179147720337,0.7393004894256592,-0.016675136983394623,0.6459178328514099,0.675712525844574,-0.024150216951966286,0.6425990462303162,0.6349849104881287,-0.030730102211236954,0.6381445527076721,0.5996723175048828,-0.035993508994579315,0.6699257493019104,0.7453290224075317,-0.021042976528406143,0.6760460138320923,0.700311541557312,-0.03397958353161812,0.6799191832542419,0.6683729887008667,-0.043838877230882645,0.6815882325172424,0.6392879486083984,-0.050196804106235504,0.6853854656219482,0.7644526362419128,-0.02600358985364437,0.6784943342208862,0.743100643157959,-0.0388164222240448,0.673559308052063,0.7674712538719177,-0.04189947247505188,0.6694403290748596,0.7910670042037964,-0.04385757818818092,three
0.6810985207557678,0.8723386526107788,2.0415463097833708e-07,0.6568049788475037,0.8651118874549866,-0.012943904846906662,0.6362929940223694,0.8368369340896606,-0.01934238150715828,0.6458743214607239,0.8078550696372986,-0.02415687032043934,0.6640846729278564,0.7861847877502441,-0.029106656089425087,0.635641872882843,0.7510232925415039,-0.014415726996958256,0.6185187697410583,0.6993569135665894,-0.02169773541390896,0.6096006035804749,0.6659973859786987,-0.02689051814377308,0.6011358499526978,0.6356592178344727,-0.031824011355638504,0.6549100279808044,0.7378189563751221,-0.01705256663262844,0.6478856205940247,0.6742781400680542,-0.024806536734104156,0.6441633701324463,0.6339752674102783,-0.03138245642185211,0.639564037322998,0.600101888179779,-0.0364750400185585,0.6725538372993469,0.743767261505127,-0.021298563107848167,0.6783202886581421,0.6973657011985779,-0.034739166498184204,0.6815770268440247,0.6666735410690308,-0.044430628418922424,0.6831091046333313,0.6397125124931335,-0.0504433810710907,0.6880018711090088,0.7629876732826233,-0.026130424812436104,0.6812161803245544,0.7408598065376282,-0.03955794870853424,0.676845133304596,0.7655867338180542,-0.042649757117033005,0.6737751364707947,0.7896718978881836,-0.04434884712100029,three
0.6835689544677734,0.8706371188163757,2.0489927976541367e-07,0.6590291857719421,0.8629751801490784,-0.012381293810904026,0.6386138200759888,0.8332468271255493,-0.01837579347193241,0.6482104659080505,0.803770899772644,-0.02284393273293972,0.6666113138198853,0.7837445735931396,-0.027454327791929245,0.6365202069282532,0.7477687001228333,-0.013571364805102348,0.6194851398468018,0.6953454613685608,-0.02042376436293125,0.6106921434402466,0.6619802713394165,-0.025427477434277534,0.6020949482917786,0.6317374110221863,-0.030260594561696053,0.6561161875724792,0.735344648361206,-0.016461951658129692,0.6500665545463562,0.6726260185241699,-0.02420976385474205,0.6459324359893799,0.6318174600601196,-0.030906211584806442,0.6406785845756531,0.5974479913711548,-0.03603609278798103,0.6740084290504456,0.7416630387306213,-0.020871786400675774,0.6802564263343811,0.6950046420097351,-0.034193478524684906,0.6832465529441833,0.6638294458389282,-0.0438586063683033,0.684572696685791,0.6358607411384583,-0.04986133426427841,0.6895396113395691,0.7611899971961975,-0.025827739387750626,0.6826549768447876,0.739177942276001,-0.03905592858791351,0.6781663298606873,0.7643839716911316,-0.04185020551085472,0.675364077091217,0.7883079648017883,-0.043341074138879776,three
0.684272289276123,0.870938241481781,2.1282004070144467e-07,0.6598623991012573,0.862301766872406,-0.012694286182522774,0.6407603621482849,0.8315249085426331,-0.018770253285765648,0.6516537666320801,0.8015702962875366,-0.023251818493008614,0.6693599820137024,0.779808521270752,-0.027795512229204178,0.6386314630508423,0.7464756965637207,-0.013828190043568611,0.6217027306556702,0.6946488618850708,-0.021224018186330795,0.6125233769416809,0.6616656184196472,-0.026713667437434196,0.6036027669906616,0.6312358379364014,-0.03176184743642807,0.6580055356025696,0.7339054942131042,-0.01646815799176693,0.6513316631317139,0.670674204826355,-0.02444687858223915,0.647300660610199,0.6297188997268677,-0.03106062114238739,0.6424715518951416,0.5946320295333862,-0.03611971065402031,0.6754253506660461,0.7406648993492126,-0.020720362663269043,0.6811250448226929,0.6927712559700012,-0.03390214592218399,0.6840962767601013,0.6623019576072693,-0.04300471022725105,0.6855775117874146,0.6344404816627502,-0.04854191839694977,0.6905879974365234,0.7610796689987183,-0.025628212839365005,0.6841263175010681,0.7360363006591797,-0.038177624344825745,0.6796780228614807,0.7598075270652771,-0.04047299176454544,0.6766977310180664,0.7829200625419617,-0.04164319485425949,three
0.6860281229019165,0.8717209696769714,2.0257584765204228e-07,0.6612458229064941,0.8633720874786377,-0.01243305392563343,0.6410216093063354,0.8332382440567017,-0.018355593085289,0.6511960029602051,0.8030012845993042,-0.022643225267529488,0.6687218546867371,0.7809070944786072,-0.02694920264184475,0.6390473246574402,0.7480068802833557,-0.01426754891872406,0.6227267980575562,0.6940519213676453,-0.0216355137526989,0.6138178706169128,0.6602334976196289,-0.026949383318424225,0.6052373647689819,0.6291637420654297,-0.031988054513931274,0.6588358283042908,0.7358615398406982,-0.017036231234669685,0.6526548862457275,0.6718576550483704,-0.025524040684103966,0.6487446427345276,0.630634605884552,-0.032321080565452576,0.6440144777297974,0.5946534872055054,-0.037514589726924896,0.6766043305397034,0.7423065900802612,-0.02132001519203186,0.6829198002815247,0.6939043402671814,-0.035074200481176376,0.6862815618515015,0.6625944972038269,-0.04442813992500305,0.6878926753997803,0.6339315176010132,-0.050173837691545486,0.6923545598983765,0.7621582746505737,-0.02617080882191658,0.6860464215278625,0.7380281686782837,-0.039451759308576584,0.6806318759918213,0.7632428407669067,-0.04204055666923523,0.6766168475151062,0.7877460718154907,-0.04340327903628349,three
0.6859728097915649,0.8701159358024597,2.1905900382535037e-07,0.6611528396606445,0.8615285754203796,-0.012557461857795715,0.641506552696228,0.8324484825134277,-0.018832692876458168,0.6508715748786926,0.8029216527938843,-0.023493841290473938,0.6670318841934204,0.7804674506187439,-0.028136616572737694,0.6390509009361267,0.7460527420043945,-0.014365793205797672,0.6221049427986145,0.6930330991744995,-0.02179168350994587,0.6131196022033691,0.6597678661346436,-0.0271009411662817,0.6044930815696716,0.6294565200805664,-0.03196272253990173,0.6589527130126953,0.7338628768920898,-0.017033182084560394,0.6527541279792786,0.6700550317764282,-0.025359945371747017,0.6493346095085144,0.6291120648384094,-0.03185315802693367,0.6449888944625854,0.5939851403236389,-0.03669833391904831,0.6767817139625549,0.7403896450996399,-0.02126290090382099,0.6825151443481445,0.6925742626190186,-0.03466714173555374,0.6861854195594788,0.6625899076461792,-0.04347400367259979,0.6882543563842773,0.6351484656333923,-0.04872440546751022,0.6923382878303528,0.7600582242012024,-0.026101671159267426,0.6852497458457947,0.7360237836837769,-0.038767315447330475,0.6805089116096497,0.7606621980667114,-0.04089025408029556,0.6774600148200989,0.7840089201927185,-0.04184514284133911,three
0.6846585273742676,0.8718291521072388,2.147454836176621e-07,0.6601603627204895,0.8626439571380615,-0.011813662014901638,0.639461874961853,0.8331184387207031,-0.017576588317751884,0.648619532585144,0.8038738965988159,-0.021885473281145096,0.6662741303443909,0.7819480895996094,-0.026263490319252014,0.637385904788971,0.7476879358291626,-0.013466465286910534,0.6206343173980713,0.6934341788291931,-0.02046675980091095,0.612122118473053,0.6597163677215576,-0.02545715868473053,0.6037982106208801,0.6287773251533508,-0.030176585540175438,0.6574744582176208,0.7357764840126038,-0.016693947836756706,0.6513380408287048,0.6707901954650879,-0.024900086224079132,0.6481755971908569,0.6294794082641602,-0.03132769837975502,0.6439142823219299,0.5942525863647461,-0.03617078438401222,0.6755512952804565,0.7425541281700134,-0.02145855873823166,0.6812528371810913,0.693829357624054,-0.03476202115416527,0.6852518320083618,0.6623711585998535,-0.04348267987370491,0.6871984601020813,0.6340093016624451,-0.048730380833148956,0.6914289593696594,0.7630617618560791,-0.026791006326675415,0.6844128370285034,0.7350114583969116,-0.039009422063827515,0.6801372766494751,0.7592239379882812,-0.04053111746907234,0.6771888136863708,0.7839151620864868,-0.041210975497961044,three
0.6833953261375427,0.8703151345252991,2.1630994240240398e-07,0.6580978631973267,0.860602080821991,-0.012219171971082687,0.6381649374961853,0.8293204307556152,-0.017991086468100548,0.6487998962402344,0.7997673153877258,-0.022158067673444748,0.6666208505630493,0.7787960171699524,-0.026488594710826874,0.63593590259552,0.746738076210022,-0.013921719044446945,0.6198388338088989,0.6928355097770691,-0.020729677751660347,0.6108779311180115,0.6595091819763184,-0.025566276162862778,0.6021679639816284,0.6291645765304565,-0.03020133636891842,0.6559370160102844,0.7343232035636902,-0.016764409840106964,0.6498837471008301,0.669864296913147,-0.02415977604687214,0.6464313268661499,0.6287636160850525,-0.03030554950237274,0.6422423124313354,0.5938494801521301,-0.035101518034935,0.6739183664321899,0.7405982613563538,-0.0211408119648695,0.679337203502655,0.6910178065299988,-0.03392009064555168,0.6829858422279358,0.6600201725959778,-0.04302745684981346,0.6852065920829773,0.6318210959434509,-0.04878778010606766,0.6897497177124023,0.7598134279251099,-0.026095237582921982,0.6815986633300781,0.736629068851471,-0.038885120302438736,0.6769980192184448,0.7622533440589905,-0.041363026946783066,0.6743425726890564,0.7862550020217896,-0.04268626123666763,three
